"display_name","reputation","views","up_votes","down_votes"
"Sadun89",1,0,0,0
"ygns",36,0,2,0
"Jakub Czaplicki",6,0,0,0
"user13338",1,0,0,0
"Elgreco08",8,0,0,0
"Swing Magic",101,0,0,0
"Olivier Pons",103,0,2,0
"Rimesh",6,0,0,0
"johnsamuel",8,0,0,0
"b1ackcrow",82,0,0,0
"Joonas PerÃ¤lÃ¤",1,0,0,0
"zdkroot",1,0,0,0
"SHEHZAD ADIL",6,0,0,0
"madmw",101,0,0,0
"scottrosenquist",1,0,0,0
"Ashish",41,0,0,0
"Jorge Alcocer",1,0,0,0
"tom502",36,0,0,0
"user13353",1,0,0,0
"Duncan ",1,0,0,0
"user13355",1,0,0,0
"zzz",13,0,0,0
"Restless",1,0,0,0
"kavisiegel",123,0,1,0
"anveo",1,0,0,0
"eje211",111,0,0,0
"mazzzzz",101,0,1,0
"Olgun Kaya",6,0,0,0
"Nick",1,0,0,0
"Fabio Kaminski",1,0,0,0
"Frank E Duffey",1,0,0,0
"Tom Frost",1,0,0,0
"jamesodhunt",61,0,0,0
"user13369",1,0,0,0
"Ansis Atteka",116,0,0,0
"user13371",1,0,0,0
"user13372",1,0,0,0
"Asyik",1,0,0,0
"user13375",1,0,0,0
"strikefrankie",1,0,0,0
"Harvey",11,0,0,0
"Fouad",1,0,0,0
"Andre",6,0,0,0
"user13380",1,0,0,0
"Nick",6,0,0,0
"Abdias Torres Beniquez",29,0,0,0
"Alexander",111,0,0,0
"DasEi",31,0,0,0
"guppey",11,0,0,0
"Thomas",1,0,0,0
"Peter Rothe",1,0,0,0
"user13388",1,0,0,0
"vsushkov",101,0,1,0
"Pham Ha",1,0,0,0
"Marco",11,0,0,0
"Jonta",6,0,0,0
"deadsven",101,0,1,0
"xralf",177,0,3,0
"dOkI",1,0,0,0
"eisberg",101,0,1,0
"zjm1126",113,0,0,0
"Scott Severance",872,0,89,3
"Amol Kattel",1,0,0,0
"user13400",16,0,0,0
"Alessandro",1,0,0,0
"markus",101,0,0,0
"ChristiaanP",101,0,0,0
"serengeti12",6,0,0,0
"sirkubax",31,0,0,0
"Roy",101,0,0,0
"Mark Embling",101,0,0,0
"YuppieNetworking",101,0,1,0
"Mario MarÃ­n",1,0,0,0
"Novarg",48,0,3,0
"Eslam Mostafa",6,0,0,0
"Shadok",101,0,4,0
"Luke",1,0,0,0
"Omar",11,0,0,0
"rok2791SWTS",1,0,0,0
"leuz",11,0,0,0
"user13418",38,0,1,0
"kermit the frog",11,0,0,0
"lorem",1,0,0,0
"Knife-Action-Jesus",103,0,1,0
"Kelly",101,0,2,0
"Bartosz RadaczyÅ„ski",101,0,0,0
"wol",1,0,0,0
"pabluk",1,0,0,0
"Geo",1,0,0,0
"DemiSheep",16,0,0,0
"wedesoft",1,0,0,0
"fdfghj",1,0,0,0
"Mozart321",1,0,0,0
"spadina",101,0,0,0
"Asfand Yar Qazi",21,0,0,0
"Luca Ferretti",1,0,0,0
"alex",1,0,0,0
"pbreitenbach",108,0,1,0
"readthis",1,0,0,0
"fluzios",1,0,0,0
"Mike D",21,0,0,0
"King",6,0,0,0
"Fatma Ezzat",1,0,0,0
"Roger",1,0,0,0
"king",1,0,0,0
"Jose",1,0,0,0
"Joseph McCullough",23,0,0,0
"imhhliu",16,0,0,0
"Vnuk",116,0,2,0
"shin",133,0,0,0
"Ludovic LebÃ¨gue",1,0,0,0
"Joni Nevalainen",174,0,1,0
"Nathanphan",101,0,0,0
"user13453",1,0,0,0
"die_humans",150,0,1,0
"Sam",16,0,0,0
"user13456",1,0,0,0
"echoman",6,0,0,0
"user13458",1,0,0,0
"benmcdonald",1,0,0,0
"LisaO",1,0,0,0
"user13461",1,0,0,0
"Reed Schultz",11,0,0,0
"lafattaturchina",6,0,0,0
"BHM",130,0,0,0
"2shaar",1,0,0,0
"user13466",31,0,0,0
"saradela",1,0,0,0
"Yariv",1,0,0,0
"agustin",1,0,0,0
"smessing",1,0,0,0
"user13471",7,0,0,0
"Olcay ErtaÅŸ",73,0,80,0
"David",1,0,0,0
"Screatch",34,0,1,0
"user13475",1,0,0,0
"Anton Lashkov",61,0,0,0
"kacheng",1,0,0,0
"user13478",1,0,0,0
"Vassileff",1,0,0,0
"I Heart Ubuntu",240,0,16,0
"Kevin Dolan",111,0,0,0
"Daniel Serodio",1,0,0,0
"cemshit",6,0,0,0
"user13484",1,0,0,0
"cemshit",1,0,0,0
"Zach N",3,0,0,0
"Mike Freeman",1,0,0,0
"Mamaduka",121,0,0,0
"Derek Pressnall",56,0,0,0
"Wilson Alves",1,0,0,0
"Jesse Nicholson",101,0,0,0
"Franz",101,0,0,0
"Tom",21,0,0,0
"blitzkid",1,0,0,0
"Nick C.",6,0,0,0
"Torben Lajer",1,0,0,0
"user13497",1,0,0,0
"zookalicious",974,0,173,1
"Jose King",36,0,1,0
"MMM",1,0,0,0
"dezwart",1,0,0,0
"FilipS1",16,0,0,0
"heryts",11,0,0,0
"Scott",1,0,0,0
"Earl Larson",92,0,0,0
"hiobs",6,0,0,0
"Paul",1,0,0,0
"Nichob",1,0,0,0
"user13509",26,0,0,0
"user13510",1,0,0,0
"user13511",1,0,0,0
"Mixabuben",1,0,0,0
"user13513",1,0,0,0
"Abhinav Upadhyay",101,0,0,0
"ascobol",138,0,3,0
"Klaus",1,0,0,0
"Paul",6,0,0,0
"user13518",1,0,0,0
"Andrew",6,0,0,0
"jason",9,0,0,0
"jesper",16,0,1,0
"choko01",1,0,0,0
"William",1,0,0,0
"ÐžÐ»ÐµÐ³ ÐÐ¸Ñ†Ð¾Ð²Ð¸Ñ‡",11,0,0,0
"Nissan911",1,0,0,0
"cug",1,0,0,0
"Kesken88",1,0,0,0
"Myles Megyesi",1,0,0,0
"user13531",1,0,0,0
"user13532",1,0,0,0
"David Rando",309,0,28,0
"eminsenay",1,0,0,0
"Nick",6,0,0,0
"pictuga",8,0,0,0
"amorfis",148,0,2,0
"flueedo",1,0,0,0
"octa",101,0,0,0
"NateW",268,0,3,0
"DR-MTMRD",1,0,0,0
"Sascha Jazbec",51,0,0,0
"Ryan Budney",101,0,0,0
"ancestral",1,0,0,0
"Josh",1,0,0,0
"hieukieng",11,0,0,0
"funkyhat",1,0,0,0
"eazel7",1,0,0,0
"bryan",6,0,0,0
"pgcudahy",6,0,0,0
"bryan",1,0,0,0
"Castanho",145,0,0,1
"user13554",11,0,0,0
"user13555",29,0,0,0
"WIlliam",1,0,0,0
"lymose",11,0,0,0
"Marc Planard",1,0,0,0
"Amir Latif",1,0,0,0
"Ayokongmag-Pakilala",1,0,0,0
"Yannis",3,0,0,0
"Amitabh Gupta",1,0,0,0
"Ulan",1,0,0,0
"user13564",1,0,0,0
"user13565",1,0,0,0
"damageboy",101,0,1,0
"real_ate",36,0,0,0
"Innuendo",140,0,5,0
"Andy Partington",6,0,0,0
"Egil",4207,0,510,10
"user13571",1,0,0,0
"amith viswanath",347,0,90,0
"oWeRQ",1,0,0,0
"6205",1,0,0,0
"varunkumar-eie",1,0,0,0
"ServAce85",101,0,0,0
"HiddenGhost",1,0,0,0
"Travis Hume",6,0,0,0
"brickinthewall",6,0,0,0
"Eekfonky",1,0,0,0
"6205",1,0,0,0
"GDR",101,0,0,0
"asics shoes",1,0,0,0
"Jay",11,0,0,0
"Winston Roberts",6,0,0,0
"Guy C",101,0,1,0
"ivan90112",1,0,0,0
"Jordan Conway",6,0,0,0
"technodenbow",1,0,0,0
"expatal",1,0,0,0
"arnab ",108,0,0,0
"arendon",1,0,0,0
"Jeeves I",50,0,0,0
"Dunc",1,0,0,0
"user13595",1,0,0,0
"Mycroft",11,0,0,0
"sam",6,0,0,0
"lolo",1,0,0,0
"MBybee",1,0,0,0
"Aaron Hastings",11,0,0,0
"Paulo Costa",1,0,0,0
"user13606",1,0,0,0
"Jon Germany",1,0,0,0
"Nick Taylor",1,0,0,0
"Blah",71,0,8,0
"sam",6,0,0,0
"Raminder Sidhu",1,0,0,0
"John",6,0,0,0
"shellex",1,0,0,0
"Shellex Wai",1,0,0,0
"sam",1,0,0,0
"Stevie J. Wright",1,0,0,0
"user13617",1,0,0,0
"Dan Forward",31,0,0,0
"Chad",1,0,0,0
"Jaroslav Tulach",1,0,0,0
"sconnall",1,0,0,0
"user13622",1,0,0,0
"Pravin",101,0,1,0
"codeelegance",123,0,0,0
"Elijah Bee",1,0,0,0
"bartosz.r",11,0,0,0
"Miki",6,0,0,0
"user13628",1,0,0,0
"alwinlin",15,0,1,0
"Dan Pascut",1,0,0,0
"persepolis",13,0,0,0
"Lovely Gautam",21,0,0,0
"WarrenFaith",128,0,0,0
"user13634",1,0,0,0
"Zizidor",1,0,0,0
"Poma",101,0,0,0
"Gareth",21,0,0,0
"mann0",1,0,0,0
"peter",36,0,0,0
"JÃ©rÃ©my Quentel",1,0,0,0
"weekens",148,0,9,0
"user13642",13,0,0,0
"enfw",1,0,0,0
"saimanoj",1,0,0,0
"Sietse Kingma",1,0,0,0
"temoto",101,0,6,0
"Anon",1,0,0,0
"Daeavelwyn",1,0,0,0
"user13649",1,0,0,0
"Tom Bott",1,0,0,0
"Rupert",140,0,4,0
"manny",1,0,0,0
"Vinod Puliyadi",1,0,0,0
"janki",1,0,0,0
"Amigable Clark Kant",101,0,2,0
"Faqa",28,0,1,0
"neil",16,0,0,0
"Wh1T3h4Ck5",101,0,1,0
"rdrey",1,0,0,0
"donbarron",1,0,0,0
"Axel",1,0,0,0
"schmichael",1,0,0,0
"jamesbong",1,0,0,0
"Adam",11,0,0,0
"kubaz93",1,0,0,0
"Tuahaa",11,0,0,0
"private_meta",101,0,0,0
"ninwa",1,0,0,0
"flow",111,0,0,0
"Walter",19,0,0,0
"Joseph Hill",1,0,0,0
"user13672",1,0,0,0
"mike",101,0,0,0
"eric",6,0,0,0
"Chris Otto",1,0,0,0
"Perrako",133,0,0,0
"GeekgolÃ³",1,0,0,0
"user13678",1,0,0,0
"Adrian",6,0,0,0
"Damien",1,0,0,0
"Francisco Gonzalez",11,0,0,0
"Kostas Mavridis",1,0,0,0
"Remy Hands",1,0,0,0
"Random832",205,0,0,1
"Jason Bailey",11,0,0,0
"Todd Kennedy",1,0,0,0
"dimmer",1,0,0,0
"machi",6,0,0,0
"Mayuri",1,0,0,0
"Muhammad Candramata Emil",1,0,0,0
"flashback",1,0,0,0
"marcos",11,0,0,0
"Gabriel Fair",1,0,0,0
"imprecation",1,0,0,0
"jazzact",1,0,0,0
"lizajane999",1,0,0,0
"user13697",1,0,0,0
"btw616",1,0,0,0
"Muawwiz Khan",1,0,0,0
"gphilip",101,0,2,0
"harsha",16,0,0,0
"Henry Finucane",1,0,0,0
"Johann du Toit",101,0,0,0
"Elliot Murphy",1,0,0,0
"Airam",11,0,0,0
"user13706",36,0,0,0
"user13707",1,0,0,0
"retiefdv",6,0,0,0
"ushabtay",108,0,0,0
"Grzenio",111,0,6,0
"qwiddity",1,0,0,0
"VirusZ",101,0,4,0
"Tufan BarÄ±ÅŸ YÄ±ldÄ±rÄ±m",101,0,0,0
"CharlesB",101,0,1,0
"davide",11,0,0,0
"Husain",1,0,0,0
"Carl",1,0,0,0
"user13718",1,0,0,0
"Ross Bearman",33,0,1,0
"Manuj",1,0,0,0
"Boyong",1,0,0,0
"brdz",11,0,0,0
"Virgil",6,0,0,0
"Hauke",6,0,0,0
"Cristian Parrino",1,0,0,0
"user13726",1,0,0,0
"Brian Erickson",18,0,0,0
"Joshua McKinnon",101,0,2,0
"user13729",1,0,0,0
"user13730",1,0,0,0
"OnuRC",1,0,0,0
"Willy ",9,0,0,0
"Brettski",108,0,3,0
"mojo jojo",1,0,0,0
"praxxis",1,0,0,0
"Brendan",6,0,0,0
"slyderc",1,0,0,0
"Christoph",101,0,0,0
"SirSid",1,0,0,0
"gathda",1,0,0,0
"Tesseract",1,0,0,0
"user13742",1,0,0,0
"Susan Jordan",13,0,0,0
"jaywink",1,0,0,0
"Alex Korotkikh",6,0,0,0
"azat",101,0,0,0
"Mikesname",101,0,0,0
"IaCo",8,0,0,0
"Unhackmee",21,0,0,0
"Nikk-9",1,0,0,0
"Fuddledumpy",580,0,104,13
"Sam",26,0,0,0
"feeela",101,0,2,0
"jnsbt",1,0,0,0
"bntser",99,0,16,0
"Derek Mahar",101,0,0,0
"Christopher Small",1,0,0,0
"Anthony",106,0,0,0
"Rayson Jimenez",1,0,0,0
"Nick",11,0,0,0
"bigbrovar",11,0,0,0
"WebWeasel",333,0,7,0
"user13764",1,0,0,0
"harpo",101,0,0,0
"hminaya",101,0,0,0
"user13767",1,0,0,0
"rverzyl",31,0,0,0
"Julian Luna",1,0,0,0
"Frank Farmer",101,0,1,0
"jimy",101,0,0,0
"Tandiyo",1,0,0,0
"Rayson Jimenez",1,0,0,0
"Salman A",101,0,0,0
"espaqu",6,0,0,0
"daganh",11,0,0,0
"Smotko",497,0,107,0
"ubuntuuser",1,0,0,0
"Samoei Philemon",1,0,0,0
"Marat",1,0,0,0
"Kiikonen",1,0,0,0
"user13782",1,0,0,0
"user13783",1,0,0,0
"SanderTuit",1,0,0,0
"mouters",101,0,0,0
"Sergey Yelin",1,0,0,0
"Kevin",131,0,0,0
"mattia",1,0,0,0
"Reuben",1,0,0,0
"Johnsie",1,0,0,0
"terminatororcreator",1,0,0,0
"Stuart",6,0,0,0
"Terry",101,0,3,0
"Bastian Doeen",31,0,0,0
"Curt Hendzell",1,0,0,0
"fdierre",1,0,0,0
"wyz",1,0,0,0
"gumbo",45,0,6,0
"Ian Dickinson",113,0,2,0
"Glenn ",36,0,0,0
"Amir ",1,0,0,0
"rigved",47,0,69,0
"Mandibull",8,0,0,0
"Kaushal Singh",1,0,0,0
"Andrew Hodgson",101,0,0,0
"Andrew Vit",101,0,0,0
"user13807",11,0,0,0
"Asaf",166,0,1,0
"Adam Greenhall",1,0,0,0
"dasunsrule32",1,0,0,0
"dole doug",108,0,2,0
"Kristian",1,0,0,0
"marc",1,0,0,0
"Suraj G",14,0,0,0
"user13816",1,0,0,0
"justin cress",101,0,0,0
"publife",1,0,0,0
"santiagozky",163,0,5,0
"pratik",11,0,0,0
"Benedikt Wutzi",6,0,0,0
"Jodie",6,0,0,0
"user13823",1,0,0,0
"user13824",1,0,0,0
"Ã‡etin",1,0,0,0
"realgt",101,0,0,0
"adamjford",101,0,1,0
"Andrew",1,0,0,0
"Alex Bliskovsky",101,0,0,0
"approbatory",1,0,0,0
"Kromey",101,0,21,0
"Lasall",30,0,6,0
"Brendan Long",103,0,33,0
"marmotte31",1,0,0,0
"Cygwin98",101,0,0,0
"Ali",101,0,0,0
"glasnt",71,0,0,0
"Eugene",105,0,10,0
"Paul M. Nguyen",1,0,0,0
"imranmeedin",1,0,0,0
"renan",1,0,0,0
"user13842",101,0,5,0
"juanmah",81,0,3,0
"hnprashanth",101,0,0,0
"zilverdistel",111,0,0,0
"Tioz",1,0,0,0
"Amumu",116,0,0,0
"Henno",101,0,0,0
"Ahmed M. AbouZaid",11,0,0,0
"fuggle",146,0,5,0
"user13851",1,0,0,0
"Asaf Chertkoff",149,0,5,0
"eleata",1,0,0,0
"penguin359",101,0,0,0
"microo8",1,0,0,0
"user13856",101,0,0,0
"dhananjai",1,0,0,0
"Amareswar",101,0,0,0
"masterpiga",1,0,0,0
"Mark Tomlin",106,0,2,0
"nkint",204,0,2,0
"Steve",1,0,0,0
"Metza",6,0,0,0
"max g cuarto",6,0,0,0
"Neil Greenwood",1,0,0,0
"Santhosh ",1,0,0,0
"rujmah",1,0,0,0
"Mark Longair",101,0,0,0
"Gabriel",1,0,0,0
"sickgemini",101,0,10,0
"user13871",8,0,0,0
"Steffen",1,0,0,0
"Shreef",1,0,0,0
"user13874",1,0,0,0
"shridatt",1,0,0,0
"user13876",1,0,0,0
"rokeyge",1,0,0,0
"user13878",1,0,0,0
"David Emmett",1,0,0,0
"user13880",1,0,0,0
"Hans Engler",101,0,0,0
"Mr. Q",1,0,0,0
"Woody",1,0,0,0
"Rasmus",46,0,3,0
"Bjorn Thor Jonsson",1,0,0,0
"WanderdÃ¼ne",1,0,0,0
"Simon Halsey",1,0,0,0
"user13888",1,0,0,0
"zachwill",1,0,0,0
"Aleksei Meledin",1,0,0,0
"ckoning",3,0,0,0
"FireWave",1,0,0,0
"SebastiÃ¡n Moreno",6,0,0,0
"Sean Lewis",11,0,0,0
"lefke123",1,0,0,0
"MacAnthony",101,0,0,0
"ppb",111,0,3,0
"user13898",1,0,0,0
"Rakem Phillips",11,0,0,0
"jackbower",6,0,0,0
"Sean Fitzpatrick",292,0,4,0
"Filip Kis",1,0,0,0
"Tek",111,0,0,0
"Shane",1,0,0,0
"Amazed",509,0,12,0
"tibnor",1,0,0,0
"aprigiosimoes",66,0,0,0
"consindo",11,0,0,0
"bytebender",101,0,10,0
"user13910",1,0,0,0
"Sayem Ahmed",101,0,2,0
"Doug Cone",1,0,0,0
"user13913",1,0,0,0
"anger",101,0,1,0
"user13915",1,0,0,0
"Maarx",23,0,1,0
"ChrisH",1,0,0,0
"Stefano Travelli",1,0,0,0
"quamrana",103,0,0,0
"rodrigob",101,0,0,0
"user13922",1,0,0,0
"Kid XD",17,0,4,0
"user13924",1,0,0,0
"user13925",1,0,0,0
"Chas. Owens",113,0,1,0
"Vincent",1,0,0,0
"user13928",1,0,0,0
"Cor Koelewijn",6,0,0,0
"freddyb",130,0,16,0
"emddom",1,0,0,0
"aahan bohara",11,0,0,0
"Marc",1,0,0,0
"Allwyn Mendes",3,0,0,0
"sarton85",1,0,0,0
"ablmf",101,0,1,0
"Dogbert",101,0,4,0
"FrantiÅ¡ek Å½iaÄik",103,0,2,0
"Christian Howd",38,0,0,0
"user13941",1,0,0,0
"user13942",6,0,0,0
"Stephen J. Fuhry",101,0,1,0
"user13944",1,0,0,0
"Wonko",1,0,0,0
"Aly",126,0,0,0
"Jordy",13,0,0,0
"Preschian",1,0,0,0
"harshit kumar",21,0,0,0
"user13950",1,0,0,0
"user13951",1,0,0,0
"Cogwheel - Matthew Orlando",101,0,1,0
"Pacane",101,0,0,0
"zyga",1,0,0,0
"BioLounge",1,0,0,0
"Jaime",1,0,0,0
"balta",1,0,0,0
"user13958",1,0,0,0
"Adi",1,0,0,0
"user13960",1,0,0,0
"Marc Vitalis",101,0,0,0
"Liang Zhao",1,0,0,0
"shane",6,0,0,0
"Ron",1,0,0,0
"Dag Notland",1,0,0,0
"user13966",1,0,0,0
"abhi",1,0,0,0
"Pons",1,0,0,0
"picakhu",116,0,0,0
"Pretz Rosario",1,0,0,0
"mjaniec",13,0,0,0
"user13972",1,0,0,0
"Anonymous",1,0,0,0
"Potatoswatter",101,0,0,0
"sampablokuper",101,0,2,0
"warwickp",11,0,0,0
"user13977",21,0,0,0
"Studiocricket",1,0,0,0
"Eli Grey",101,0,0,0
"evol",101,0,0,0
"Daniel",26,0,0,0
"user13982",1,0,0,0
"pearjoint",11,0,0,0
"DKY",16,0,0,0
"B-Scan",1,0,0,0
"user13986",1,0,0,0
"Guamaniac",101,0,3,0
"meotimdihia",106,0,0,0
"Tesseract",1,0,0,0
"user13991",1,0,0,0
"Tamer",33,0,2,0
"user13993",101,0,0,0
"Igor Kravchuk",1,0,0,0
"wildster",1,0,0,0
"TREE",111,0,2,0
"Tina",11,0,0,0
"Palantir",108,0,1,0
"Gerhard Sonnenmoser",26,0,0,0
"dohnp5a1",21,0,0,0
"Mace",70,0,2,0
"Prometheus87",30,0,3,0
"Kristofer",111,0,0,0
"user14004",16,0,0,0
"Jernej",1,0,0,0
"harry",1,0,0,0
"TomMD",136,0,0,0
"Jacob",101,0,3,0
"user14009",11,0,0,0
"user14010",6,0,0,0
"user14011",6,0,0,0
"davidjoho",1,0,0,0
"milos",21,0,0,0
"sudurais",323,0,10,0
"nerdy_kid",358,0,29,5
"Patrick Fraley",1,0,0,0
"Jared Reyes",51,0,0,0
"dasen",128,0,0,0
"habtool",1,0,0,0
"jcrawfordor",101,0,0,0
"Anake",18,0,1,0
"somehume",1,0,0,0
"Denis Hoctor",101,0,0,0
"Paulo Polito",21,0,0,0
"user14025",1,0,0,0
"Ivan",101,0,0,0
"cwlq",1,0,0,0
"cm_mehdi",1,0,0,0
"wangsy",1,0,0,0
"Lewis C",71,0,0,0
"daashali",1,0,0,0
"shridatt",1,0,0,0
"Sreejith A Sreeju",36,0,7,0
"sims",141,0,0,0
"j.rierdan",11,0,0,0
"451F",86,0,1,0
"user14037",21,0,0,0
"ubuntu_fan",1,0,0,0
"cburneci",46,0,0,0
"user14040",23,0,0,0
"gabrielperezs",1,0,0,0
"Astrobob",1,0,0,0
"Malte",101,0,3,0
"volution2111",11,0,0,0
"JKoder",26,0,0,0
"Jesus",1,0,0,0
"Seeker",1,0,0,0
"Lee Reed",11,0,0,0
"Mayank Jain",1,0,0,0
"sreekanth",11,0,0,0
"emddudley",101,0,1,0
"maximd",1,0,0,0
"Sourav",221,0,19,0
"Henrik Tikanvaara",1,0,0,0
"user14055",1,0,0,0
"Riccardo Cossu",101,0,0,0
"user14057",1,0,0,0
"Andrew Abogado",1,0,0,0
"Marcus Brito",1,0,0,0
"Robert",11,0,0,0
"pohl",101,0,0,0
"bturru",1,0,0,0
"Philou",1,0,0,0
"goliatone",101,0,1,0
"Carlos Precioso Domingo",16,0,0,0
"MTS",1,0,0,0
"minhaj",1,0,0,0
"Roflcoptr",178,0,7,0
"glarrain",1,0,0,0
"Jepedo",101,0,0,0
"joujek",1,0,0,0
"molnarandris",1,0,0,0
"Anthony",1,0,0,0
"netyciukas",16,0,0,0
"Leo Sen",1,0,0,0
"user14076",1,0,0,0
"d5e5",101,0,0,0
"Legion",101,0,0,0
"ogerard",151,0,0,0
"Wulfhart",101,0,0,0
"rye37",1,0,0,0
"Pascal",143,0,4,0
"Serhiy",101,0,0,0
"user14084",1,0,0,0
"Jordon",11,0,0,0
"keithjgrant",300,0,23,0
"pedrotokarski",5,0,0,0
"Tyler Treat",101,0,0,0
"Jayadevan",1,0,0,0
"bmcnett",1,0,0,0
"Andres",16,0,0,0
"user14094",1,0,0,0
"Alisson",11,0,0,0
"zpook59",1,0,0,0
"poyes",6,0,0,0
"Mohab Soliman",11,0,0,0
"ChaimKut",1,0,0,0
"Stefan Endrullis",111,0,0,0
"FractalizeR",101,0,1,0
"varun",1,0,0,0
"bergie",16,0,0,0
"user14105",1,0,0,0
"lepht",1,0,0,0
"user14107",1,0,0,0
"bojanskr",101,0,0,0
"TheMightyJag",1,0,0,0
"David Calvert",1,0,0,0
"Anton Derevyanko",101,0,1,0
"jvc",39,0,1,0
"Liealais Vards Nekas",11,0,0,0
"Richard Knowlton",16,0,0,0
"Tich",21,0,2,0
"CPC",81,0,0,0
"Hans",1,0,0,0
"matejk",1,0,0,0
"URLArenzo",32,0,4,0
"slothdog",11,0,0,0
"skinder",1,0,0,0
"user14122",1,0,0,0
"Zizilk",6,0,0,0
"quarkdown27",101,0,0,0
"Evgeny Petukhov",1,0,0,0
"totaam",36,0,0,0
"Hailwood",442,0,27,0
"Cocker",1,0,0,0
"FranÃ§ois Beausoleil",101,0,0,0
"Ola",13,0,0,0
"Byron",1,0,0,0
"Prashant Bhate",101,0,0,0
"Blaze",1,0,0,0
"avi",1,0,0,0
"liori",101,0,1,0
"Jacob Millward",23,0,0,0
"Matt Ball",101,0,0,0
"Daniel Schildt",1,0,0,0
"entropo",101,0,0,0
"Peter DeWeese",101,0,0,0
"Greenisagoodcolor",16,0,0,0
"anonymous",1,0,0,0
"Avdi",128,0,3,0
"Tacticus",1,0,0,0
"user14145",1,0,0,0
"user14146",13,0,0,0
"Anon",1,0,0,0
"lovesh",116,0,0,0
"dkeeney",8,0,0,0
"anam",1,0,0,0
"user14151",1,0,0,0
"Wilhelmina",1,0,0,0
"newbie",1,0,0,0
"icn",101,0,0,0
"Lerikun",6,0,0,0
"Vasil Remeniuk",101,0,0,0
"Bryan",11,0,0,0
"Nilesh",1,0,0,0
"sevas",1,0,0,0
"0800loser",1,0,0,0
"LPa",1,0,0,0
"Azizur",126,0,7,0
"Ernelli",52,0,5,0
"user14165",1,0,0,0
"Ravelux",11,0,0,0
"Peter Curtis",21,0,0,0
"HoellP",1,0,0,0
"ScorpKing",36,0,0,0
"Alisson",11,0,0,0
"Nishant Shrivastava",101,0,0,0
"user14172",1,0,0,0
"Fran DiÃ©guez",9,0,0,0
"macydanim",18,0,0,0
"Will",1,0,0,0
"Jeff",1,0,0,0
"user14177",1,0,0,0
"Marcelo Ruiz",21,0,0,0
"kizby",1,0,0,0
"Cody",1,0,0,0
"ToxAtec",11,0,0,0
"Red Five",1,0,0,0
"stevepowell99",131,0,0,0
"user14184",1,0,0,0
"Nicolas",1,0,0,0
"onderbakirtas",6,0,0,0
"amin",1,0,0,0
"Sean Lake",1,0,0,0
"Vihus",1,0,0,0
"Domen",1,0,0,0
"CAT Shannon",11,0,0,0
"svetoch",1,0,0,0
"user14193",11,0,0,0
"geep",3,0,0,0
"Ben Preston",106,0,18,0
"Omar Owens",1,0,0,0
"vwk",21,0,0,0
"user14198",1,0,0,0
"TrevorMA",101,0,0,0
"Shankar",101,0,0,0
"jshen",123,0,2,0
"user14202",1,0,0,0
"Sebastian",21,0,0,0
"iUngi",271,0,12,0
"pchtsp",1,0,0,0
"nightcracker",101,0,0,0
"Nicky",41,0,0,0
"CPC",1,0,0,0
"Andrew Min",1,0,0,0
"amri",1,0,0,0
"Amax",6,0,0,0
"lobster1234",117,0,0,0
"user14213",1,0,0,0
"woooooojianjie",1,0,0,0
"Smettie",1,0,0,0
"Surya",3,0,0,0
"JisJ",46,0,0,0
"user14218",1,0,0,0
"kaykay",101,0,0,0
"Chris",1,0,0,0
"vincetg2",1,0,0,0
"davidlee",106,0,0,0
"markba",1,0,0,0
"nicdm",31,0,0,0
"agate",1,0,0,0
"Daniel Ellis",13,0,0,0
"barrylloyd",97,0,0,0
"sub7ei",53,0,1,0
"jure",1,0,0,0
"aravindhanarvi",101,0,0,0
"sparky",1,0,0,0
"Arne",6,0,0,0
"jmlb",1,0,0,0
"Mithun",101,0,0,0
"Anon",1,0,0,0
"user14236",1,0,0,0
"roboplegicwrongcock",36,0,2,0
"RYUZAKI",101,0,0,0
"opt",1,0,0,0
"Russell Gallop",1,0,0,0
"koldofx",19,0,0,0
"user14242",1,0,0,0
"user14243",1,0,0,0
"David Murdoch",118,0,3,0
"Ole_Brun",101,0,0,0
"Pawel",1,0,0,0
"Uqbar",11,0,0,0
"user14248",1,0,0,0
"jrpz",1,0,0,0
"Abdul Karim Memon",24,0,0,0
"Kestrel73",1,0,0,0
"almokes",11,0,0,0
"user14253",1,0,0,0
"Nako",1,0,0,0
"user14255",1,0,0,0
"Peter Curtis",36,0,0,0
"BoltClock",101,0,1,0
"anithri",13,0,0,0
"rockstar",1,0,0,0
"Martin",11,0,0,0
"Lucass",8,0,0,0
"drakmaniso",81,0,1,0
"user14263",1,0,0,0
"Netbook_mariner",1,0,0,0
"Koala Yeung",1,0,0,0
"AZorin",16,0,0,0
"matcheek",101,0,0,0
"glucik",1,0,0,0
"user14269",1,0,0,0
"Andrew",1,0,0,0
"edgein13c",1,0,0,0
"Gub G Gub",1,0,0,0
"Mr. Q",6,0,0,0
"user14274",6,0,0,0
"Zikes",101,0,8,0
"tomis",6,0,0,0
"James Litewski",103,0,1,0
"ken1943",21,0,0,0
"Ekevoo",1,0,0,0
"David",101,0,0,0
"user14282",1,0,0,0
"Bryan",23,0,0,0
"joelittlejohn",101,0,3,0
"Bryan",21,0,0,0
"rakete",61,0,0,0
"Tyler Walker",1,0,0,0
"Linuxus",9,0,0,0
"chands",118,0,3,0
"Can Burak Cilingir",1,0,0,0
"julkiewicz",129,0,6,0
"Calum",1,0,0,0
"Eloy Castro",1,0,0,0
